Date,Open,High,Low,Close,Volume,Change
2021-01-04,19750,19900,18850,19100,719076,-0.027989821882951627
2021-01-05,19000,19500,18650,19400,660993,0.015706806282722585
2021-01-06,19350,19850,19000,19700,692445,0.015463917525773141
2021-01-07,20000,20100,19500,19700,612986,0.0
2021-01-08,19850,19900,18950,19100,620141,-0.030456852791878153
2021-01-11,19000,19100,17850,18100,868959,-0.05235602094240843
2021-01-12,18000,18500,18000,18100,377078,0.0
2021-01-13,18000,18350,17900,18000,325304,-0.0055248618784530246
2021-01-14,18100,18850,18000,18450,395979,0.02499999999999991
2021-01-15,18600,18700,18000,18050,334730,-0.02168021680216803
2021-01-18,18000,18050,17050,17050,509279,-0.05540166204986152
2021-01-19,16900,17200,15900,16550,716826,-0.029325513196480912
2021-01-20,16550,17250,16550,16900,281517,0.02114803625377637
2021-01-21,17100,17200,16650,16700,292345,-0.011834319526627168
2021-01-22,16600,16650,16250,16400,288262,-0.017964071856287456
2021-01-25,16450,17000,16400,17000,279789,0.03658536585365857
2021-01-26,17150,17150,16500,16700,271418,-0.01764705882352946
2021-01-27,16700,16850,16300,16350,231488,-0.020958083832335328
2021-01-28,16200,16200,15750,15750,321083,-0.03669724770642202
2021-01-29,15900,16000,14750,15050,415174,-0.0444444444444444
2021-02-01,14800,15700,14800,15600,217267,0.03654485049833878
2021-02-02,15650,16050,15550,15800,170148,0.012820512820512775
2021-02-03,15850,15950,15500,15700,147509,-0.006329113924050667
2021-02-04,15700,15750,15250,15300,143047,-0.02547770700636942
2021-02-05,15450,15750,15200,15500,186469,0.013071895424836555
2021-02-08,15800,15800,15300,15400,159256,-0.006451612903225823
2021-02-09,15700,15700,15350,15400,153252,0.0
2021-02-10,15050,15650,15050,15350,192189,-0.0032467532467532756
2021-02-15,15450,15800,15150,15700,202964,0.0228013029315961
2021-02-16,16000,16150,15600,15700,333293,0.0
2021-02-17,16700,16850,15750,15800,638207,0.006369426751592355
2021-02-18,15650,16050,15500,15650,215478,-0.009493670886076
2021-02-19,15650,15700,15100,15400,218109,-0.015974440894568676
2021-02-22,15300,15500,15100,15150,171635,-0.016233766233766267
2021-02-23,15000,15100,14400,14400,354880,-0.04950495049504955
2021-02-24,14350,14600,13750,13750,271570,-0.04513888888888884
2021-02-25,13900,14450,13800,14450,244951,0.050909090909091015
2021-02-26,13950,14500,13800,14500,242941,0.0034602076124568004
2021-03-02,14750,14750,14100,14300,199410,-0.01379310344827589
2021-03-03,14150,14500,14100,14300,127587,0.0
2021-03-04,14200,14250,13600,13750,225778,-0.038461538461538436
2021-03-05,13600,13950,13400,13950,187692,0.014545454545454639
2021-03-08,15200,17200,14400,14400,3201857,0.032258064516129004
2021-03-09,14900,15300,14050,14750,607724,0.02430555555555558
2021-03-10,14800,14850,14200,14200,242598,-0.037288135593220306
2021-03-11,14100,14400,14000,14000,217350,-0.014084507042253502
2021-03-12,14150,14300,14000,14300,152528,0.021428571428571352
2021-03-15,14250,14600,14100,14350,176810,0.0034965034965035446
2021-03-16,14350,14850,14350,14700,229193,0.024390243902439046
2021-03-17,14900,15150,14700,15000,229342,0.020408163265306145
2021-03-18,15100,15300,14900,14900,227040,-0.00666666666666671
2021-03-19,14700,15000,14600,14900,140595,0.0
2021-03-22,15050,15050,14600,14650,194753,-0.016778523489932917
2021-03-23,14750,14850,14550,14650,178875,0.0
2021-03-24,14550,14650,14300,14300,181575,-0.023890784982935176
2021-03-25,14350,14400,14100,14200,120178,-0.006993006993006978
2021-03-26,14250,14350,14100,14200,98410,0.0
2021-03-29,14300,14350,14050,14200,112767,0.0
2021-03-30,14300,14400,14100,14150,117105,-0.0035211267605633756
2021-03-31,14150,14250,14000,14250,142773,0.007067137809187329
2021-04-01,14200,14300,14050,14050,146791,-0.01403508771929829
2021-04-02,14300,14750,14250,14450,323722,0.028469750889679624
2021-04-05,14600,14600,14250,14350,106239,-0.00692041522491349
2021-04-06,14350,14400,14100,14100,138948,-0.017421602787456414
2021-04-07,14200,14450,14100,14400,119400,0.02127659574468077
2021-04-08,14350,15150,14350,14950,473907,0.03819444444444442
2021-04-09,15000,15150,14700,15050,205650,0.006688963210702337
2021-04-12,15150,15550,15050,15500,300002,0.029900332225913706
2021-04-13,15500,15550,15250,15300,186169,-0.012903225806451646
2021-04-14,15250,15950,15100,15800,433602,0.03267973856209161
2021-04-15,15850,15900,15450,15600,204149,-0.012658227848101222
2021-04-16,15600,15650,15350,15400,208989,-0.012820512820512775
2021-04-19,15300,15600,15200,15450,169881,0.0032467532467532756
2021-04-20,15650,15650,15350,15450,196856,0.0
2021-04-21,15450,16200,15400,15600,576694,0.009708737864077666
2021-04-22,15750,15800,15400,15500,239113,-0.0064102564102563875
2021-04-23,15500,16050,15250,15600,351254,0.006451612903225712
2021-04-26,15750,16350,15700,16250,645319,0.04166666666666674
2021-04-27,16300,16500,16050,16100,355521,-0.009230769230769265
2021-04-28,16300,16300,15650,15800,415415,-0.018633540372670843
2021-04-29,15750,15800,15250,15350,249142,-0.02848101265822789
2021-04-30,15400,15600,15200,15350,160945,0.0
2021-05-03,15200,15450,14950,14950,210516,-0.026058631921824116
2021-05-04,14950,15050,14200,14550,301529,-0.026755852842809347
2021-05-06,14600,14800,14500,14600,143915,0.0034364261168384758
2021-05-07,14700,14900,14550,14850,130208,0.017123287671232834
2021-05-10,15050,15400,14850,15400,219045,0.03703703703703698
2021-05-11,15350,15400,15050,15300,134726,-0.00649350649350644
2021-05-12,15300,15400,14750,14900,130243,-0.02614379084967322
2021-05-13,14550,15000,14450,14550,161273,-0.023489932885906062
2021-05-14,14750,14750,14600,14700,98572,0.010309278350515427
2021-05-17,14800,15050,14700,15000,137869,0.020408163265306145
2021-05-18,15000,15150,14850,14950,106804,-0.0033333333333332993
2021-05-20,15200,15200,14700,14800,143099,-0.010033444816053505
2021-05-21,14850,14900,14650,14650,110068,-0.010135135135135087
2021-05-24,14800,14800,14300,14400,127994,-0.017064846416382284
2021-05-25,14400,14500,14250,14450,118947,0.003472222222222321
2021-05-26,14350,14600,14300,14500,71634,0.0034602076124568004
2021-05-27,14500,14650,14400,14600,87897,0.006896551724137945
2021-05-28,14650,14750,14450,14500,136282,-0.006849315068493178
2021-05-31,14550,14700,14500,14650,99060,0.010344827586206806
2021-06-01,14700,14700,14450,14600,114966,-0.0034129692832765013
2021-06-02,14700,14700,14450,14500,109559,-0.006849315068493178
2021-06-03,14550,14650,14450,14600,96158,0.006896551724137945
